num,mot,categorie,traduction,phrase_tr,phrase_en,frequence,indice,categorie_2,traduction_2,phrase_2_tr,phrase_2_en,categorie_3,traduction_3,phrase_3_tr,phrase_3_en
63,yan,n,side,Hemen yan tarafımızdan geçen Zap suyu her türlü ihtiyacımızı karhılardı.,"The Zap river, which passes right by our side, has met all our needs.",100925,0.96,v,to burn,Girihteki bütün pamuk çuvalları ve birkaç   Girihteki bütün pamuk çuvalları ve birkaç hey yanmıh.,All the cotton bundles and a couple of other things in the entrance were burnt.,,,,
64,üzeri,n,"on, above","Üzeri dallarla örtülmüh, altı gölgelikti.","Above was covered with branches, making it a shady place.",98790,0.96,,,,,,,,
65,büyük,adj,"big, great",Bu türlerin büyük bir kısmına sıj ve tuzlu sularda rastlanır.,A great portion of these species is encountered in shallow and salty waters.,95501,0.97,,,,,,,,
66,yaha,v,to live,gnsanlar umutlarıyla yahar.,Men live with their hopes.,96717,0.95,,,,,,,,
67,bah,n,head,Bah ve vücut birlikte kalıplanmıhtır.,The head and the body are molded together.,95481,0.95,,,,,,,,
68,yol,n,"road, way","Önümüzdeki uzun yol, yani ırmak bizi bekliyor.","A long road ahead, I mean the river, is waiting for us.",92301,0.96,v,to pluck,,Kazı yoluyor. — He is plucking the goose. •  Kazı yoluyor. — He is plucking the goose.,,,,
69,neden,n,reason,Tibuk’a göre yolsuzlukların altındaki en önemli neden de devletçilik.,"As for Tibuk, the main reason underlying corruption is statism.",91434,0.95,adv,"why, what for",,Bunları okuyucularla neden paylahtık? — •  Bunları okuyucularla neden paylahtık? — Why did we share these with the readers?,,,,
70,çocuk,n,child,"Çok kolay diye yanıtlıyor bizimki, ayaklarını sayıp dörde bölüyorum.","It is very easy, said our friend, I just count the number of legs and divide them by four.",93854,0.91,,,,,,,,
70,çocuk,n,child,"Çok kolay diye yanıtlıyor bizimki, ayaklarını sayıp dörde bölüyorum.","It is very easy, said our friend, I just count the number of legs and divide them by four.",93854,0.91,,,,,,,,
72,gir,v,to enter,Direk parlamentoya gir aktif siyasete atıl.,"Enter the parliament directly, get involved in active political life.",85569,0.97,,,,,,,,
73,ülke,n,country,Bu ülke için durum göründüjünden daha karıhıktır.,"For this country, the situation is more complicated than it seems.",93600,0.89,,,,,,,,
74,kullan,v,to use,Diledijin gibi kullan.,Use it as you wish.,90836,0.91,,,,,,,,
75,yüz,n,face,Bu büyüme atılımı döneminde yüz ve kafa kemiklerinde de hızlı bir dejihim gerçeklehir.,"During this maturation period, a rapid change takes place in the face and head bones.",90361,0.91,v,"to swim, to skin",,Derelerde yüzer çokça dere suyu yutardık. — •  Derelerde yüzer çokça dere suyu yutardık. — We used to swim in creeks and swallowed much creek water.,,,,
76,dünya,n,"the world, the earth",Dünya ise Güneh’in çevresinde dönen bir gezegendir.,The world is a planet rotating around the sun.,86510,0.95,,,,,,,,
77,gerek,v,to be necessary,Üstelik bujdayın yetihtirilebilmesi için de suya gerek vardır.,"Furthermore, to grow wheat, water is necessary.",86896,0.95,n,necessity,Müstesna bir bölümün de onlara ayrılması   Müstesna bir bölümün de onlara ayrılması gerekli.,It is a necessity to reserve a special section for them.,,,,
78,biri,pron,someone,Manisa’da adamın biri âhık oldu bana.,Someone has fallen in love with me in Manisa.,83813,0.96,,,,,,,,
79,durum,n,"state, condition",Ejer durum ciddiyse düzeltmeye çabalarız.,"If the state is critical, we try to remedy it.",83987,0.94,,,,,,,,
80,orta,n,middle,Dıha vurulan orta sınıf hayat tarzıdır.,What is expressed is a middle-class lifestyle.,83343,0.94,,,,,,,,
81,dühün,v,to think,Gidih nereye? Dur ve dühün!,Where are we heading? Stop and think!,82875,0.95,,,,,,,,
82,getir,v,to bring,Bir hihe harap getir.,Bring a bottle of wine.,79260,0.96,,,,,,,,
83,iyi,adj,good,Yazın iyi olmamıh.,Your writing is not good enough.,81848,0.93,,,,,,,,
83,iyi,adj,good,Yazın iyi olmamıh.,Your writing is not good enough.,81848,0.93,,,,,,,,
84,göre,posp,"for, according to","Son verilere göre, ülkemizde 120 civarında sulak alan bulunmaktadır.","According to the latest data, there are about 120 wetlands in our country.",82163,0.92,,,,,,,,
85,böyle,adv,"so, thus, such a",Bahka nerede böyle bir uygulama kaldı acaba?,Where else can such an implementation still be found?,83266,0.91,,,,,,,,
86,aç,v,to open,Kapıyı sessizce aç.,Open the door quietly.,76768,0.97,adj,hungry,,Zenginlik içinde aç kalabilirsiniz. —   You may •  Zenginlik içinde aç kalabilirsiniz. —   You may be hungry even though you are wealthy.,,,,
87,taraf,n,side,Bu hizmet her iki taraf için de güzel sonuçlar dojurur.,This service produces good results for both sides.,77391,0.94,,,,,,,,
88,yaz,v,to write,Bunu yaz olur mu?,"Write this down, will you?",77838,0.92,n,summer,Her yıl yaz aylarında bu aktiviteler en   Her yıl yaz aylarında bu aktiviteler en yojun hekliyle sürer.,"Every year, during summer months, these activities continue intensively.",,,,
89,göster,v,to show,Kanatlarımı göster onlara.,Show them my wings.,75484,0.95,,,,,,,,
90,ev,n,"house, home",gmran Han ev hapsine alındı.,Imran Han is under house arrest.,78019,0.91,,,,,,,,
91,kadın,n,"woman, female",Yönetiminde 12 kadın yer aldı.,12 women took roles in the administration.,77944,0.91,,,,,,,,
92,hal,n,"state, condition",Hal ve tavrı son derece sakindi.,His state and disposition were very calm.,73630,0.96,,,,,,,,
93,göz,n,eye,Buna karhın beynin ve gözün görece çok daha az etkilendikleri gözlemlendi.,"Despite this, it has been observed that the brain and eye were affected relatively less.",77751,0.90,,,,,,,,
94,alan,n,"field, open place",Çünkü tah ocajının kurulacajı alan yüzeysel olarak tırahlanmaktadır.,Because the field where the quarry will be opened up has been cut on the surface.,76651,0.91,,,,,,,,
95,aynı,adj,the same,Aynı akıl yürütmeyi yapacajız.,We will follow the same reasoning.,71489,0.97,,,,,,,,
96,önemli,adj,important,Özel sektöre çok önemli görevler dühüyor.,There are very important tasks for the private sector.,74563,0.93,,,,,,,,
97,hiç,adv,never,Elde edilen bulgular ise hiç de beklendiji gibi dejil.,The results obtained are never expected.,74773,0.92,,,,,,,,
98,yani,conj,in other words,"Yani, kıhın paranız varsa ısınırsınız, yoksa donarsınız.","In other words, if you have money, you keep warm in winter, if not you freeze.",84656,0.81,,,,,,,,
99,bura,n,this place,Burada bu sistem kullanılmaktadır.,"In this place, this system is used.",73101,0.93,,,,,,,,
100,söz,n,"remark, statement",Bu sözler bir Türk ihadamının feryadı aslında.,"In fact, these remarks are cries of Turkish businessmen.",70618,0.96,,,,,,,,
101,ilk,det,first,Bu ihe ilk girihenlerin Fenikeliler olduju söylenir.,It is argued that the Phoenicians were the first to take up this matter.,71855,0.94,,,,,,,,
102,dojru,adj,correct,Bu dojru bir tahmindir.,This is a correct estimate.,69340,0.97,posp,towards,,kimdi geriye dojru gidin! —   Now move •  kimdi geriye dojru gidin! —   Now move towards it!,,,,
103,konuh,v,"to talk, to speak",Ne olur canım konuh benimle.,"Please, sweetheart, talk to me.",71942,0.93,,,,,,,,
104,oluh,v,to come into being,Müthih güçlü bir baj oluhtu aramızda.,A very strong bond came into being between us.,73917,0.90,n,"becoming, formation",Ancak golün oluh sürecinin arkasında   Ancak golün oluh sürecinin arkasında binlerce saniye vardır.,"However, there are thousands of seconds before the formation process of the goal.",,,,
105,ancak,conj,yet,Bakalım siz tavlayı nasıl oynuyorsunuz.,Let’s see how you play backgammon.,73216,0.91,,,,,,,,
105,ancak,conj,yet,Bakalım siz tavlayı nasıl oynuyorsunuz.,Let’s see how you play backgammon.,73216,0.91,,,,,,,,
107,birlik,n,unity,Bu birlik iki alanlı bir yapıya sahiptir.,This unity has a structure that has two fields.,68976,0.95,,,,,,,,
108,hekil,n,"shape, figure",Kromozomlar gerek büyüklük gerekse hekil bakımından farklıdırlar.,Chromosomes are different both in size and shape.,70943,0.93,,,,,,,,
109,bahka,det,other,kimdilerde Japon pazarına çıkan bir bahka yol daha vardır.,"Nowadays, there are other roads to the Japanese market.",66296,0.96,,,,,,,,
110,bütün,det,"whole, total, entire",Kimi bütün gününü o odada geçirirdi.,Some of them spent the whole day in that room.,66248,0.96,,,,,,,,
111,nasıl,adv,how,Hangi oyuncu nasıl oynarsa kazanır?,Which player will win no matter how s/he plays?,67388,0.94,,,,,,,,
112,hu,pron,that,Ve herhey hu küçücük küreyi etkilemektedir.,And everything affects that small sphere.,65274,0.94,,,,,,,,
113,ön,n,front,Ön tekerin zeminde kayması arka tekerin kaymasından çok daha tehlikelidir.,Sliding the front wheels is far more dangerous than sliding the rear wheels.,63123,0.96,,,,,,,,
114,çek,v,to pull,"Saj taraf ahajıda kaldı, ipi çek biraz.","The right side is low, pull up the rope a little bit.",63547,0.95,n,cheque,,Verdijin çekler karhılıksız çıktı. — •  Verdijin çekler karhılıksız çıktı. — The cheques you wrote were returned.,,,,
115,devlet,n,state,Ancak sistem gereji devlet bahkanının bahbakan adayını önermesi gerekiyor.,"However, according to the existing system, the head of state should propose a candidate for prime minister.",68132,0.87,,,,,,,,
116,bile,posp,even,gh yerlerinde bile tavla oynanır ülkemizde.,"Even in the workplace, people play backgammon in our country.",62844,0.93,,,,,,,,
117,gelih,v,to develop,Olaylar nasıl gelihti biliyor musunuz?,Do you know how the events developed?,66023,0.89,n,"arrival, visit",,"Hepimizin gstanbul’a ilk gelihi. —   For all •  Hepimizin gstanbul’a ilk gelihi. —   For all of us, it is the first visit to gstanbul.",,,,
118,himdi,adv,now,kimdi sıra gene birinci oyuncuda.,"Now, it is the turn of the first player again.",65554,0.89,,,,,,,,
119,hem,conj,and also,Hem de çok büyük zorluklara katlanarak.,And also enduring huge hardship.,60061,0.97,,,,,,,,
120,kihi,n,person,Yetkin bir kihi benim için binlerce kihiye bedeldir.,"For me, a competent person equals thousands of others.",61503,0.93,,,,,,,,
121,düh,v,to fall,Çeçenlerin son kalesi de dühtü.,The last castle of the Chechens fell.,58823,0.97,n,dream,,"Uyku sona erince düh de bitecektir. — •  Uyku sona erince düh de bitecektir. — When sleep ends, so does the dream.",,,,
122,dur,v,to stop,Dur! Beni bekle.,Stop! Wait for me.,61763,0.92,,,,,,,,
123,alt,n,"bottom, ground",Özellikle alt katlarda pencere bulunmaz.,"Especially on the ground floor, there is no window.",58713,0.96,,,,,,,,
123,alt,n,"bottom, ground",Özellikle alt katlarda pencere bulunmaz.,"Especially on the ground floor, there is no window.",58713,0.96,,,,,,,,
124,veya,conj,or,Bu sıcaklıkların altında veya üstünde yahayamazlar.,They do not live below or above this temperature.,63221,0.89,,,,,,,,
125,yine,adv,again,Ancak yine de dijer yöntemlerle bu görühün desteklenmesi gerekmektedir.,"Yet again, this view should be supported by other methods.",59252,0.95,,,,,,,,
126,özellik,n,"feature, speciality",Bu özellik birçok familyada muhafaza edilmihtir.,This feature has been preserved in many families.,60875,0.91,,,,,,,,
127,ad,n,name,"Buna göre, her fosilin iki tane adı vardır.","Accordingly, each fossil has two names.",57634,0.96,,,,,,,,
128,hak,n,right,Kihi hak ve özgürlüklerinin hukuki veya fiili yollarla korunması mümkündür.,The rights and freedom of a person can be protected by law or in practice.,60207,0.92,,,,,,,,
129,sor,v,to ask,gstersen bir uzmanına sor.,You had better ask an expert.,58690,0.94,,,,,,,,
130,adam,n,"man, person",Adam ojlunu arabasıyla okula götürüyor.,The man takes his son to school by car.,61058,0.90,,,,,,,,
131,dönem,n,period,Yahamımda yeni bir dönem açılmıhtı.,A new period opened up in my life.,59697,0.91,,,,,,,,
132,dıh,n,outside,Dıharı çıkmak zorunda kalabilirim.,I might be forced to go outside.,59114,0.92,,,,,,,,
133,hayat,n,life,Tarihi kentte hayat oldukça sakin görünüyor.,Life appears to be calm in the historic city.,58742,0.92,,,,,,,,
134,sajla,v,to provide,Bu süre içinde özel ders vererek geçimini sajladı.,He provided a living for himself by private tutoring during this period.,61394,0.88,,,,,,,,
135,kur,v,to set up,Cezayir’de koloniler kurdu.,He set up colonies in Algeria.,57478,0.94,n,exchange rate,Merkez bankası tarafından kurlar günlük   Merkez bankası tarafından kurlar günlük olarak tespit edilmektedir.,Exchange rates are determined daily by the central bank.,,,,
136,sonuç,n,"result, outcome",Bu sonuç bulgularımızı destekler niteliktedir.,This result seems to support our findings.,59424,0.91,,,,,,,,
137,sahip,n,owner,Burada sözünü ettijimiz elbette mülk sahibi sınıfların gelenekleri.,What we are referring to here of course is the tradition of classes of property owners.,57414,0.94,,,,,,,,
138,tut,v,to hold,Al tut ellerimi bebek.,"Hold my hands, baby.",56029,0.96,,,,,,,,
139,at,v,to throw,At hu miskinleri dıharı dedi.,I said throw those lazy men out.,56652,0.94,n,horse,,Bir süre sonra at koharak döndü. —   Sometime •  Bir süre sonra at koharak döndü. —   Sometime after the horse came running back.,,,,
140,sür,v,"to drive, to last",Pazarlıklar gece boyunca sürdü.,Negotiations lasted all night long.,54252,0.95,,,,,,,,
141,kız,n,girl,Kız çocukları hâlâ okula gidemiyor.,The girls still cannot attend school.,57442,0.89,v,"to get angry, to redden",,"Kızdı, bajırdı bana. —   He got angry and •  Kızdı, bajırdı bana. —   He got angry and shouted at me.",,,,
142,çünkü,conj,because,Çünkü bilim için harcanan emejin dejerini bilir.,Because he knows the value of efforts in science.,53673,0.95,,,,,,,,
143,ora,n,that place,Birkaç polis orada cıgara içiyorlar.,A couple of policemen were smoking in that place.,55347,0.90,,,,,,,,
144,tek,det,"single, the only",Ortodontide tek bir hastalık vardır.,There is one single ailment in orthodontology.,50555,0.97,,,,,,,,
145,bırak,v,to leave,Bırak beni canım kardehim!,Leave me my dear brother!,51907,0.94,,,,,,,,
146,su,n,water,Fosil yakıtlar su kirlilijine de neden olurlar.,Fossil fuels cause water pollution.,54954,0.89,,,,,,,,
147,üst,n,"top, upper",Üst yüzeyde iki tip çıkıntı vardır.,There are two bumps on the top surface.,50705,0.95,,,,,,,,
148,oku,v,to read,Dön bir daha oku istersen.,You had better go back and read it again.,51526,0.93,,,,,,,,
149,sev,v,"to love, to like",Kendini sev kendine güven.,"Love yourself, trust yourself.",53681,0.89,,,,,,,,
150,duy,v,to hear,Annemin sesini duy tamam mı?,"Hear my mother, will you?",50954,0.93,,,,,,,,
151,birlikte,adv,together,Ata yadigarı binlerce eserle birlikte yahadıjımız için hanslı sayılırız.,We should consider ourselves lucky since we live together with thousands of remains of our forefathers.,49202,0.97,,,,,,,,
152,tanı,v,"to recognize, to be acquainted",“Sen bir dakika bekle” dedim ve apartmana girdim.,"I said, “Wait a minute,” and entered the building.",49153,0.94,n,diagnosis,Aslında tanısı ve tedavisi son derece   Aslında tanısı ve tedavisi son derece kolay bu enfeksiyonun.,"In fact, diagnosis and cure of this infection are quite simple.",,,,
152,tanı,v,"to recognize, to be acquainted",“Sen bir dakika bekle” dedim ve apartmana girdim.,"I said, “Wait a minute,” and entered the building.",49153,0.94,n,diagnosis,Aslında tanısı ve tedavisi son derece   Aslında tanısı ve tedavisi son derece kolay bu enfeksiyonun.,"In fact, diagnosis and cure of this infection are quite simple.",,,,
154,fazla,adj,"much, excessive",Fazla zaman geçmemihti.,Not much time has passed.,48510,0.95,adv,"too, much, extra",,O gece her zamankinden fazla içmih. —,det,"much, over •  Fazla zaman geçmemihti.—   Not much time",O gece her zamankinden fazla içmih.,
155,artık,adv,"no more, anymore, no longer",Artık gözlerimin mavisi görünmeyecek hale geldi.,The blue of my eyes was no longer visible.,49211,0.94,n,leftover,Bu artıklar içinde zehirleyici nitelikte   Bu artıklar içinde zehirleyici nitelikte maddeler de bulunmakta.,"In these leftovers, there are poisonous materials.",,,,
156,uygula,v,to apply,Kendine uygula testi ve bana sonucu bildir.,Apply the test to yourself and let me know the result.,53389,0.86,,,,,,,,
157,baba,n,father,Yolda bir kaza oluyor ve baba ölüyor.,An accident happens on the road and a father dies.,51163,0.90,,,,,,,,
158,an,n,"moment, instant",ku an günlük üretimimiz 30 tona ulahmıh vaziyette.,"At this moment, our daily production reached 30 tons.",48889,0.93,v,"to remember, to recollect",,Annemizin adını sık sık anıyor. —   She often •  Annemizin adını sık sık anıyor. —   She often remembers our mother’s name.,,,,
159,dejih,v,to change,Fikirlerimiz gelihip dejihti.,Our ideas evolved and changed.,47128,0.96,,,,,,,,
160,soru,n,question,Bu teoremden sonra akla bir bahka soru geliyor.,"After this theorem, another question comes to mind.",47206,0.96,,,,,,,,
161,dijer,det,the other,Kendi ojluma ve dijer çocuklara baktıkça onlar adına üzülüyorum.,I feel sorry for them when I look at my son and the other kids.,50320,0.90,,,,,,,,
162,ilgili,adj,related,Gülmece ile ilgili kuramlar oldukça eskilere dayanıyor.,Theories relating to comedy go back to old times in history.,49141,0.92,,,,,,,,
163,bilgi,n,"knowledge, information",Satrançta saklı bilgi yoktur.,There is no secret knowledge in chess.,49099,0.91,,,,,,,,
164,süre,n,"duration, period",Bu yüzden hiçbir yerde uzun süre kalamadı.,"For this reason, he could not stay for a long period anywhere.",46645,0.96,,,,,,,,
164,süre,n,"duration, period",Bu yüzden hiçbir yerde uzun süre kalamadı.,"For this reason, he could not stay for a long period anywhere.",46645,0.96,,,,,,,,
165,güzel,adj,beautiful,Güzel dihler güzeli daha güzel yapar.,Beautiful teeth make the beautiful even more beautiful.,50139,0.89,,,,,,,,
166,öyle,adv,"thus, as such",Bu öyle sıradan bir memurluk dejildi.,This was not an ordinary government office as such.,49443,0.89,,,,,,,,
167,anne,n,mother,gyi bir dojum öncesi bakım ile anne ve çocuk ölümleri engellenebilir.,"With proper care, both mother and child deaths can be prevented.",49468,0.88,,,,,,,,
168,tarih,n,"date, history",Her yer alabildijince yehil ve tarih kokuyor.,Everywhere is covered with green and smells of history.,46812,0.93,,,,,,,,
169,sadece,adv,"only, merely","Unutmayın ki, çocujunuz sadece bir kere büyüyecektir.",Don’t forget that your child only grows up once.,45132,0.96,,,,,,,,
170,arkadah,n,friend,Mümkünse bu spor birkaç arkadah ile birlikte yapılmalıdır.,"If possible, this sport should be done with a friend.",48143,0.90,,,,,,,,
171,koy,v,"to put, to place",Al bu ekmeji koy torbana.,Take this bread and put it into your bag.,43923,0.96,n,cove,Koya vardıklarında hava kararmak üzereydi.   Koya vardıklarında hava kararmak üzereydi.,"When they arrived at the cove, it was about evening.",,,,
172,bugün,adv,today,Bugün sizin gününüz dejil.,Today is not your day.,44332,0.95,,,,,,,,
173,kaç,v,to escape,107 mahkum kaçtı.,107 prisoners escaped.,44222,0.95,adj,how many,,Kaç kihi öldü? —   How many people died? •  Kaç kihi öldü? —   How many people died?,,,,
