id;word_id;question_type;text;option_1;option_2;option_3;option_4;correct_answer;note
34;34;1;"How do you translate ""each, every"" in Turkish ?";har;ser;yer;her;4;
35;35;1;"This word mean ""thing"", which one is it ?";mey;sey;şey;hey;3;
36;36;1;"Translate ""until, as much as"".";karar;kadır;kadar;sadar;3;
37;37;1;"This word translates to ""break, interval, distance"", which one is it ?";söyle;dakika;ara;öyle;3;
38;38;1;"This verb is used to say ""to look for, to search"", which one is it ?";armak;aramak;aranmak;yaramak;2;
39;39;1;"What is the translation of ""gitmek"" ?";to do;to come;to go ;to play;3;
40;40;1;"Which set of two letters is used to express ""the most"" ?";ön;on;en;an;3;
41;41;1;"Only one of these words translates to ""year"", which one is it ?";san;sun;yil;yıl;4;
42;42;1;"Which word we use in Turkish to express ""be not"" (nominal negation) ?";değil;yok;artık;sonra;1;
43;43;1;"What is the meaning of ""çalışmak"" ?";to walk;to work;to read;to speed;2;
44;44;1;"Which of these verbs mean ""to want"" ?";stemek;ustemek;üstemek;istemek;4;
45;45;1;"What is ""late"" in Turkish ?";erkan;erken;geç;gec;3;
46;46;1;"Only one of these words mean ""to pass"", which one is it ?";gezmek;gesmek;gecmek;geçmek;4;
47;47;1;"This verb mean ""to know"" in Turkish, what is this verb ?";binmek;bilmek;bitmek;birmek;2;
48;48;1;"What is the pronoun for ""we, us"" ?";biz;siz;ben;o;1;
49;49;1;"How do you translate ""gün"" in English ?";week;year;month;day;4;
50;50;1;"Find the word for ""human, person"".";insen;kisi;kizi;insan;4;
51;51;1;"This verb mean ""to understand"", which one is it ?";alanmak;alamak;anlatmak;anlamak;4;
52;52;1;"We could translate this word to ""either"", which one is it ?";ye;ya;ay;ey;2;
53;53;1;"What is ""hand"" in Turkish ?";ul;el;al;ül;2;
54;54;1;"This word translates to ""who, which (subordinating conj.)"", which one is it ?";neden;ki;ne;mi;2;
55;55;1;"Find in this list a verb meaning ""to stay, to remain"".";karmak;kalmak;olmak;surmek;2;
56;56;1;"Find the word for  ""to say, to tell""";soylemek;söylemek;sölemek;seylemek;2;
57;57;1;"Find the word for  ""to look at""";barmak;bakmak;yakmak;bapmak;2;
58;58;1;These 3 letters show that something doesn't exist. What are these 3 letters ?;yuk;yok;yup;nok;2;"""reservasyon yok"" => there is no reservation"
59;59;1;"Find the word for ""to eat"".";emek;yemek;ekmek;yermek;2;
60;60;1;"Which verb means ""to begin, to start"" ?";bazlamak;başlamak;aşlamak;balamak;2;
61;61;1;"This word refers to ""subject matter, topic"", which one is it ?";kopu;konu;tonu;topu;2;
62;62;1;"What is ""new"" in Turkish ?";yeri;yeni;yani;eni;2;
63;63;1;"What is the verb for ""to be"" ?";inek;imek;ipek;inmek;2;
64;64;1;"What is the personal pronoun for ""you"" ?";o;sen;ben;siz;2;
65;65;1;"This word can be translated to ""work"" or ""business"", what is this word ?";iz;şırket;sırket;iş;4;
66;66;1;"What is ""before"" in Turkish ?";sonra;yarın;dün;önce;4;
67;67;1;"This word stands for ""end, conclusion"", what is this word ?";izli;en;son;an;3;
68;68;1;"What is ""side"" in Turkish ?";kıl;yan;kil;yen;2;
69;69;1;"Only one of these verbs mean ""to burn"", which one is it ?";urmak;yanmak;yarmak;armak;2;
70;70;1;"How do you translate ""on, above"" ?";arasında;yuksek;altında;üzeri;4;
71;71;1;"This word means ""big, great"", which one is it ?";buyuk;küçük;kucuk;büyük;4;
72;72;1;"This verb means ""to live"", which one is it ?";yaşamak;yasamak;yatamak;yazamak;1;
73;73;1;"Translate ""head"".";baş;kiz;bas;kuz;1;
74;74;1;"Translate ""road, way""";yil;yal;yul;yol;4;
75;75;1;"Translate ""to pluck""";yulmak;yılmak;yalmak;yolmak;4;
76;76;1;"Translate ""reason""";nes;nesen;neren;neden;4;
77;77;1;"Translate ""child""";çoluk;çok;çoğun;çocuk;4;
78;78;1;"This word is often used, it can be translated as ""saying"". Which one is it ?";dile;dime;dine;diye;4;
79;79;1;"This verb means ""to enter"", which one is it ?";gitmek;gelmek;sürmek;girmek;4;
80;80;1;"Which word means ""country"" ?";ülke;ulke;sulke;ölke;1;
81;81;1;"This verb translates to ""to use"", which one is it ?";kullanmak;kullamak;gullanmak;sullanmak;1;
82;82;1;"How do you translate ""face"" ?";yüz;yuz;yaz;yoz;1;
83;83;1;"The meaning of this verb is ""to swim, to skin"", what is this verb ?";yüzmek;yuzmek;yürmek;yurmek;1;
84;84;1;"Translates ""the world, the earth"".";dünya;dügya;dünye;dünüa;1;
85;85;1;"This verb is described as ""to be necessary (modal verb)"", which one is it ?";gerekmek;germek;geremek;gürmek;1;
86;86;1;"What is ""necessity"" in Turkish ?";gerek;sermek;senmek;gepek;1;
87;87;1;"Find ""someone"" in this list.";biri;kisi;bir;kişi;1;
88;88;1;"That word is translated as ""state, condition"", which word is it ?";durun;turum;durum;turun;3;
89;89;1;"What word means ""middle"" ?";orta;urta;yani;orda;1;
90;90;1;"Which verb is used to say ""to think"" ?";düşünmek;düsümek;düzünmek;daşanmek;1;
91;91;1;"What is ""to bring"" in Turkish ?";getipmek;dusmek;geturmek;getirmek;4;
92;92;1;"What is ""good"" in Turkish ?";izi;isi;iyi;kötü;3;
93;93;1;"Which word can be used to mean ""for, according to"" ?";güre;zöre;göre;zore;3;
94;94;1;"This word mean ""so, thus, such a"", which one is it ?";töyle;nöyle;böyle;möyle;3;
95;95;1;"Which verb translates to ""to open"" ?";açmak;acmak;azmak;kapatmak;1;
96;96;1;"What is ""hungry"" in Turkish ?";suz;siz;aç;ac;3;
97;97;1;"Which of these words mean ""side"" ?";duz;saraf;taraf;daraf;3;
98;98;1;"This verb mean ""to write"", which one is it ?";nezmek;nazmak;yüzmek;yazmak;4;
99;99;1;"What is the Turkish word for ""summer"" ?";yaz;yüz;yuz;naz;1;
100;100;1;"Translate ""to show"" in Turkish.";göstermek;getirmek;getmek;gelirmek;1;
101;101;1;"What's the Turkish for ""house, home"" ?";ev;evi;em;uv;1;
102;102;1;"What's the Turkish for ""woman, female"" ?";kadin;kadın;cadin;cadın;2;
103;103;1;"What's the Turkish for ""state, condition"" ?";hel;hal;hul;hül;2;
104;104;1;"What's the Turkish for ""eye"" ?";göz;goz;guz;güz;1;
105;105;1;"What's the Turkish for ""field, open place"" ?";alan;alun;malan;alın;1;
106;106;1;"What's the Turkish for ""the same"" ?";ayna;aynu;ayni;aynı;4;
107;107;1;"What's the Turkish for ""important"" ?";ünemli;önemlu;enemli;önemli;4;
108;108;1;"What's the Turkish for ""never"" ?";hiç;hic;hıç;hiz;1;
109;109;1;"What's the Turkish for ""in other words"" ?";hanu;hani;yanu;yani;4;
110;110;1;"What's the Turkish for ""this place"" ?";boura;şura;şuru;bura;4;
111;111;1;"What's the Turkish for ""remark, statement"" ?";siz;suz;soz;söz;4;
112;112;1;"What's the Turkish for ""first"" ?";ılk;olk;ulk;ilk;4;
113;113;1;"What's the Turkish for ""correct"" ?";ğodru;duğro;doğru;duğru;3;
114;114;1;"What's the Turkish for ""to talk, to speak"" ?";konusmak;konuşmak;konuzmak;komuşmak;2;
115;115;1;"What's the Turkish for ""to come into being"" ?";olusmak;uluşmak;uluşmak;oluşmak;4;
116;116;1;"What's the Turkish for ""becoming, formation"" ?";uluş;olus;oluş;uluz;3;
117;117;1;"What's the Turkish for ""yet"" ?";mamafi;ancak;faka;artık;2;
118;118;1;"What's the personal pronoun for ""you"" at the plural form ?";sen;liz;siz;biz;3;
119;119;1;"How do you say ""unity"" in Turkish ?";sirilik;birilik;sirlik;birlik;4;
120;120;1;"How do you say ""shape, figure"" ?";bekil;şekil;pekil;tekil;2;
121;121;1;"How do you say ""other"" ?";baska;başka;şaşka;saşka;2;
122;122;1;"How do you say ""whole, total, entire"" ?";bütün;bügün;tübün;rütün;1;
123;123;1;"How do you say ""how"" ?";ne;nesen;nasıl;neden;3;
124;124;1;"How do you say ""that"" ?";bu;o;orada;şu;4;
125;125;1;"How do you say ""front"" ?";ün;ön;en;an;2;
126;126;1;"How do you say ""to pull"" ?";çekmek;çikmak;çıkmak;çesmek;1;
127;127;1;"How do you say ""cheque"" ?";çek;cek;zek;şek;1;
128;128;1;"How do you say ""state"" ?";delet;devlet;letdevet;vedlet;2;
129;129;1;"What is ""Which of these following words mean ""even"" ?";bile;sile;dile;mile;1;
130;130;1;"What is ""Which of these following words mean ""to develop"" ?";gelismek;gelirmek;gelişmek;lişmek;3;
131;131;1;"Which of these following words mean ""arrival, visit"" ?";geliş;gelir;deliş;delir;1;
132;132;1;"Which of these following words mean ""now"" ?";şımdı;şumdu;şümdü;şimdi;4;
133;133;1;"Which of these following words mean ""and also"" ?";hem;hen;ham;han;1;
134;134;1;"Only one of these following words mean ""person"", which one ?";kışı;kişi;kaşi;kuşi;2;
135;135;1;"Which of these following words mean ""to fall"" ?";düşmek;düşünmek;düşümek;düşünümek;1;
136;136;1;"Which of these following words mean ""dream"" ?";duş;düz;düş;düzüş;3;
137;137;1;"Which of these verbs mean ""to stop"" ?";kurumak;kurmak;durmak;kurunmak;3;
138;138;1;"Which of these following words mean ""bottom, ground"" ?";üst;yak;orta;alt;4;
139;139;1;"Which of these following words mean ""or"" ?";vema;ve;vena;veya;4;
140;140;1;"Which of these following words mean ""again"" ?";yane;yene;yine;yune;3;
141;141;1;"Which of these following words mean ""feature, speciality"" ?";muzeliik;özellik;uzellik;mözellik;2;
142;142;1;"Which of these following words mean ""name"" ?";id;ad;ud;ed;2;
143;143;1;"Which of these following words mean ""right"" ?";huk;hak;hek;hük;2;
144;144;1;"Which of these following words mean ""to ask"" ?";surmek;sürmek;sormak;sağmak;3;
145;145;1;"Which of these words mean ""man, person"" ?";adım;kadın;adam;ekmek;3;
146;146;1;"Which of these following words mean ""period"" ?";dönem;dönen;dünem;danem;1;
147;147;1;"What is ""outside"" in Turkish ?";iç;şıd;daşar;dış;4;
148;148;1;"How do you say ""life"" in Turkish ?";ayat;tayah;hamat;hayat;4;
149;149;1;"What is ""to provide"" in Turkish ?";sarlamak;sağlamak;sanlamak;samlamak;2;
150;150;1;"What is ""to set up"" in Turkish ?";kurmak;kunmak;kulmak;kummak;1;
151;151;1;"What is ""exchange rate"" in Turkish ?";kar;kur;kür;kir;2;
152;152;1;"How do you say ""result, outcome"" in Turkish ?";zonuç;somuç;sonuç;sonuc;3;
153;153;1;"What is ""owner"" in Turkish ?";sahib;sapib;sahip;hasip;3;
154;154;1;"What is ""to hold"" in Turkish ?";kurutmak;putmak;tutmak;tupmak;3;
155;155;1;"What is ""to throw"" in Turkish ?";tamak;atmak;itmek;ıtmak;2;
156;156;1;"What is ""horse"" in Turkish ?";hursa;ut;at;et;3;
157;157;1;"What is ""to drive, to last"" in Turkish ?";sürmek;surmek;rusmek;rüsmek;1;
158;158;1;"What is ""girl"" in Turkish ?";kadin;erkek;kız;adam;3;
159;159;1;"What is ""to get angry, to redden"" in Turkish ?";kızmak;kizimak;kizmak;çizmak;1;
160;160;1;"How do you say ""because"" in Turkish ?";pünkü;çünkü;icin;bu yüzden;2;
161;161;1;"How do you say ""that place"" in Turkish ?";ora;bu;su;o;1;
162;162;1;"How do you say ""single, the only"" in Turkish ?";şek;çek;sek;tek;4;
163;163;1;"How do you say ""to leave"" in Turkish ?";bırakmak;tirakmak;birakmak;zitmak;1;
164;164;1;"How do you say ""water"" in Turkish ?";cu;du;su;şu;3;
165;165;1;"How do you say ""top, upper"" in Turkish ?";orta;yan;alt;üst;4;
166;166;1;"How do you say ""to read"" in Turkish ?";oturmak;uturmak;okumak;okurmak;3;
167;167;1;"How do you say ""to love, to like"" in Turkish ?";severmek;sevmek;çevmek;zevmek;2;
168;168;1;"How do you say ""to hear"" in Turkish ?";duyumak;dinlemek;dinlimek;duymak;4;
169;169;1;"How do you say ""together"" in Turkish ?";bardak;birlikte;bereber;berabe;2;
170;170;1;"How do you say ""to recognize, to be acquainted"" in Turkish ?";tınamak;tanımak;tanimak;tinamak;2;
171;171;1;"How do you say ""diagnosis"" in Turkish ?";tani;tanı;tina;tına;2;
172;172;1;"How do you say ""to wait (for)"" in Turkish ?";çezimek;çezmek;beklemek;bekemek;3;
173;173;1;"How do you say ""much, excessive"" in Turkish ?";fazla;bol;çok;sok;1;
174;174;1;"How do you say ""no more, anymore, no longer"" in Turkish ?";çünkü;ancak;artık;artik;3;
175;175;1;"Which of these words translates correctly to ""to apply"" ?";ugulamak;uygulmak;uğmak;uygulamak;4;
176;176;1;"Which of these words translates correctly to ""father"" ?";bebek;baba;papa;anne;2;
177;177;1;"Which of these words translates correctly to ""moment, instant"" ?";an;yil;dakil;dakika;1;
178;178;1;"Which of these words translates correctly to ""to remember, to recollect"" ?";anlamak;anmak;anlatmak;tanlanmak;2;
179;179;1;"Which of these words translates correctly to ""to change"" ?";değişmek;degişmek;diğişmek;dehişmek;1;
180;180;1;"Which of these words translates correctly to ""question"" ?";soru;problem;pitanğa;kestin;1;
181;181;1;"Which of these words translates correctly to ""the other"" ?";diğer;diger;doğer;duger;1;
182;182;1;"Which of these words translates correctly to ""related"" ?";ilgili;kesak;ulgul;elguli;1;
183;183;1;"Which of these words translates correctly to ""knowledge, information"" ?";pilgi;bilgi;silgi;milgi;2;
184;184;1;"Which of these words translates correctly to ""duration, period"" ?";sure;süre;sör;sor;2;
185;185;1;"Which of these words translates correctly to ""beautiful"" ?";güzel;guzel;muzel;müzel;1;
186;186;1;"Which of these words translates correctly to ""thus, as such"" ?";föyle;töyle;öyle;soyle;3;
187;187;1;"What's the word for ""mother"" ?";bebek;teyzem;baba;anne;4;
188;188;1;"What's the word for ""date, history"" ?";tariş;tarih;histar;hıstar;2;
189;189;1;"What's the word for ""only, merely"" ?";tadece;sadece;sordece;şadece;2;
190;190;1;"How to say ""friend"" in Turkish ?";arkadas;arkadaş;arkades;ardakaş;2;
191;191;1;"What's the verb for ""to put, to place"" ?";kurmak;koymak;koumak;kumak;2;
192;192;1;"What's the Turkish for ""cove"" ?";soy;soy;koy;yoy;3;
193;193;1;"What's the word for ""today"" ? Be careful with the u, ü !";bügün;bügun;bugun;bugün;4;
194;194;1;"What's the verb for ""to escape"" ?";kaçamak;kaçmak;çakamak;çakmak;2;
195;195;1;"What's the word we use to say ""how many"" ?";çuk;kaç;kuç;kac;2;
196;196;1;"How do you say ""decision, verdict"" ?";carar;karar;sarar;rasar;2;
197;197;1;"How do you say ""to get dark, to turn black"" ?";kamamak;kararmak;karamak;karamak;2;
198;198;1;"How do you say ""general, common"" ?";generel;ganal;genel;genele;3;
199;199;1;"What is the correct word for ""system"" among these ?";systam;sistem;sistim;system;2;
200;200;1;"What is ""relation, connection"" in Turkish ?";ilişki;iliski;ılışki;ilizki;1;
201;201;1;"How do you say ""money"" in Turkish ?";para;bara;parı;par;1;
202;202;1;"What's the verb for ""to turn"" ?";dünmek;dönmek;donmek;dunmek;2;
203;203;1;"What's the Turkish word for ""power"" ?";goç;göç;güç;guç;3;
204;204;1;"Translate ""to increase, to remain"" in Turkish.";atmak;artmak;aratmak;urtmak;2;
205;205;1;"How do you translate ""back, behind"" in Turkish ?";alt;ön;art;orta;3;
206;206;1;"How do you translate ""sound, noise, voice"" in Turkish ?";çes;ses;şeş;şez;2;
207;207;1;"How do you translate ""small, little"" in Turkish ?";küçük;buçük;büyük;küzük;1;
208;208;1;"How do you translate ""some"" in Turkish ?";hep;bazı;bezi;bol;2;
209;209;1;"Which word can be used for ""all"" ?";beraber;tüm;tün;her;2;
210;210;1;"What's the word for ""open, clear"" ?";açik;açık;açak;acık;2;
211;211;1;"What is ""society"" in Turkish ?"" ?";toplum;toplu;societe;petlum;1;
212;212;1;"How do you translate ""hard, difficult"" ?";zor;zür;zur;zır;1;
213;213;1;"How do you translate ""row, line, desk"" ?";sıra;sir;siir;sire;1;
214;214;1;"How do you translate ""event, occurrence"" ?";olay;oley;tolay;olayı;1;
215;215;1;"How do you translate ""moon, month"" ?";hafta;ai;ay;gün;3;
216;216;1;"How do you translate ""right now, immediately"" ?";hep;emen;hemen;hepen;3;
217;217;1;"How do you translate ""group"" ?";grup;grupu;grip;grop;1;
218;218;1;"How do you translate ""to appear"" ?";belirmek;belmek;germek;giremek;1;
219;219;1;"How do you translate ""long"" ?";üzun;uzün;üzün;uzun;4;
220;220;1;"How do you translate ""problem, matter, issue"" ?";sor;problum;soran;sorun;4;
221;221;1;"How do you translate ""to die"" ?";olmak;olumak;ölmek;ölümek;3;
222;222;1;"What's the word for ""a little, some"" ?";bol;çok;biraz;küçük;3;
223;223;1;"What's the word for ""book"" ?";qitap;kıtap;kitap;kitab;3;
224;224;1;"What's the word for ""old, former"" ?";yeni;eski;eske;yene;2;
225;225;1;"What's the word for ""education"" ?";eğitiğim;edukation;eğtim;eğitim;4;
226;226;1;"What's the word for ""to win"" ?";kazamak;kazanamak;kazanmak;kazmak;3;
227;227;1;"What's the word for ""caldron"" ?";kaz;kazan;kazam;kazamam;2;
228;228;1;"What's the word for ""hour, watch"" ?";sat;saata;saat;şaat;3;
229;229;1;"What's the word for ""to separate"" ?";aymak;ayumak;ayırmak;ayamak;3;
230;230;1;"What's the word for ""to sit"" ?";okumak;okurmak;oturmak;otumak;3;
231;231;1;"What's the word for ""exact, full, complete"" ?";tom;tüm;tam;tum;3;
232;232;1;"What's the word for ""movement, motion"" ?";hareketti;şikayet;şikalet;hareket;4;
233;233;1;"What's the exact word for ""people, nation"" ?";halk;kalk;şalk;salk;1;
234;234;1;"How do you translate ""to carry"" ?";tağımak;tağmak;takmak;takimak;1;
235;235;1;"How do you translate ""meaning, sense"" ?";anlatam;anlam;ansam;anlamam;2;
236;236;1;"How do you translate ""load, burden"" ?";yık;yük;yak;yuk;2;
237;237;1;"How do you translate ""each other"" ?";biriden;her biri;birbiri;bir bir;3;
238;238;1;"How do you translate ""value, worth"" ?";leker;deker;değer;deger;3;
239;239;1;"How do you translate ""to count"" ?";sayamak;saymak;sayımak;durmak;2;
240;240;1;"How do you translate ""to finish, to end"" ?";bitinmek;bitmek;birmek;gormek;2;
241;241;1;"How do you translate ""where"" ?";nere;neden;ne;nasıl;1;
242;242;1;"How do you translate ""life"" ?";yasam;yaşam;hakat;hayatt;2;
243;243;1;"How do you translate ""to explain, to disclose"" ?";açmak;antamak;açıklamak;anatlamak;3;
244;244;1;"How do you translate ""none, no"" ?";iç;hiçbir;hic;çık;2;
245;245;1;"How do you translate ""building, structure"" ?";yap;yar;yapu;yapı;4;
246;246;1;"How do you translate ""age"" ?";say;yas;yaş;sayı;3;
247;247;1;"Translate ""acceptance"" in Turkish.";kasul;karul;kapul;kabul;4;
248;248;1;"Translate ""few, a little"" in Turkish.";az;küçük;bol;çok;1;
249;249;1;"Translate ""different"" in Turkish.";daha;farklı;aynı;az;2;
250;250;1;"Translate ""back"" in Turkish.";garı;geri;düz;duz;2;
251;251;1;"Translate ""continuation"" in Turkish.";devan;devam;vedam;vedan;2;
252;252;1;"Translate ""region"" in Turkish.";bölğe;bölge;bolğe;bölğü;2;
253;253;1;"Translate ""family"" in Turkish.";ile;eile;ale;aile;4;
254;254;1;"Translate ""to meet"" in Turkish.";karşılamak;karsılamak;karcılamak;karpılamak;1;
255;255;1;"Translate ""young"" in Turkish.";genc;yaşlı;yaslı;genç;4;
256;256;1;"Translate ""form, shape"" in Turkish.";bizim;bicim;biçim;bisim;3;
257;257;1;"What's the Turkish for word for ""number"" ?";say;seyi;sayın;sayı;4;
258;258;1;"What's the Turkish word for ""school"" ?";ekul;okul;ekol;kolu;2;
259;259;1;"What's the Turkish word for ""everybody, everyone"" ?";hiç;herkes;her;karşı;2;
260;260;1;"What's the Turkish verb for ""to add"" ?";kamak;alamak;katmak;adamak;3;
261;261;1;"What's the Turkish word for ""floor"" ?";küt;flur;kat;etage;3;
262;262;1;"What's the Turkish word for ""high"" ?";yuksek;yüksük;yaksık;yüksek;4;
263;263;1;"What's the Turkish word for ""night"" ?";geze;geci;geçe;gece;4;
264;264;1;"What's the Turkish verb for ""to cut"" ?";kesmek;çezmek;pesmek;lesmek;1;
265;265;1;"What's the Turkish verb for ""to laugh"" ?";mulmek;gülmek;gulmek;gülüsümek;2;
266;266;1;"What's the Turkish word for ""rose"" ?";roz;göl;ruz;gül;4;
267;267;1;"What is ""angle"" in Turkish ?";aglı;acı;açı;anglı;3;
268;268;1;"What is ""aim, goal, purpose"" in Turkish ?";hamza;amza;amac;amaç;4;
269;269;1;"What is ""perhaps, maybe"" in Turkish ?";belki;beki;ancak;aslında;1;
270;270;1;"What is the word for ""foundation"" in Turkish ?";kemel;temel;tenel;tekel;2;
271;271;1;"How do you say ""to materialize, to happen"" in Turkish ?";gerşekleşmek;gerçekleşmek;gertekleşmek;görekleşmek;2;
272;272;1;"What is the verb ""to reach"" in Turkish ?";ulamak;ulaşmak;alaşmak;ulasmak;2;
273;273;1;"How would you say ""always"" in Turkish ?";her;hep;hep zaman;asla;2;
274;274;1;"What is ""to commit, to work"" in Turkish ?";işenlemek;ezlemek;eklemek;işlemek;4;
275;275;1;"How do you say  ""expression, testimony"" in Turkish ?";afaide;afıda;ifade;faide;3;
276;276;1;"What is ""environs, surroundings"" in Turkish ?";çevrem;kevre;leprem;çevre;4;
277;277;1;"How do you say ""to ignite, to light"" in Turkish ?";yarmak;yakmak;yukmak;yükmek;2;
278;278;1;"How do you say ""yes"" in Turkish ?";evet;hayır;belki;hayir;1;
279;279;1;"How do you say ""special, personal, private"" in Turkish ?";özel;ozellikle;ozel;üzel;1;
280;280;1;"How do you say ""language, tongue"" in Turkish ?";dil;dıl;dul;dül;1;
281;281;1;"How do you translate ""inside"" ?";içeri;diş;dış;dis;1;
282;282;1;"How do you translate ""kind, type"" ?";tor;tur;ter;tür;4;
283;283;1;"How do you translate ""to walk"" ?";yurumek;yurmek;yürümek;yormak;3;
284;284;1;"How do you translate ""especially"" ?";ozellikle;özelikle;özellikle;uzellikle;3;
285;285;1;"How do you translate ""man, male"" ?";erkek;ekmek;yekmek;kadın;1;
286;286;1;"How do you translate ""quite"" ?";pek;hep;aisla;artık;1;
287;287;1;"How do you translate ""(x) times"" ?";kez;kes;difa;defan;1;
288;288;1;"How do you translate ""who"" ?";nere;ne;kim;neden;3;
289;289;1;"How do you translate ""process"" ?";sürec;süreç;sureç;akmaç;2;
290;290;1;"How do you translate ""to stand up"" ?";gulmak;gülmek;kalmak;kalkmak;4;
291;291;1;"How do you translate ""someone, no one"" ?";kisi;ikil;kinse;kimse;4;
292;292;1;"How do you translate ""to learn"" ?";ogrenmek;okumak;öğrenmek;okunmak;3;
293;293;1;"How do you translate ""door"" ?";pakı;kepi;kapı;kipe;3;
294;294;1;"How do you translate ""point"" ?";nokda;nukta;noçta;nokta;4;
295;295;1;"How do you translate ""effect"" ?";etki;etçi;atçı;efki;1;
296;296;1;"How do you translate ""all"" ?";hepsi;her;ker;nersi;1;
297;297;1;"How do you translate ""attention"" ?";dikket;kaddit;dikkat;atent;3;
298;298;1;"How do you translate ""second"" ?";uçüncü;birinci;ikinci;dortuncu;3;
299;299;1;"How do you translate ""anyway, anyhow"" ?";aslında;zaten;asla;o yüzden;2;
300;300;1;"How do you translate ""is about to"" ?";üzere;göre;rağmen;zaten;1;
301;301;1;"How do you say ""to arrange, to organize"" ?";elenmek;yelenmek;dinlemek;düzenlemek;4;
302;302;1;"How do you say ""to ride, to get on"" ?";yürümek;bitirmek;yüzmek;binmek;4;
303;303;1;"How do you say ""difference"" ?";anada;fark;ozlun;çevret;2;
304;304;1;"How do you say ""to create"" ?";yürümek;yeremek;yaramak;yaratmak;4;
305;305;1;"How do you say ""administration"" ?";salon;kilint;yönetim;sulutun;3;
306;306;1;"How do you say ""thought, idea"" ?";düşünce;ide;fekir;kulum;1;
307;307;1;"How do you say ""near, recent"" ?";üzün;uzak;yakın;orta;3;
308;308;1;"How do you say ""to complain"" ?";çevermek;kilimak;yakınmak;yakamak;3;
309;309;1;"How do you say ""to follow, to watch"" ?";seyrenemek;izlemek;görümek;gürmek;2;
310;310;1;"How do you say ""to play"" ?";oynamak;oynamamak;oynatmak;unamak;1;
311;311;1;"How do you say ""to squeeze"" ?";sıkmak;silmek;sikmek;silinmek;1;
312;312;1;"How do you say ""frequent"" ?";nadir;sık;ender;neder;2;
313;313;1;"How do you say ""to protect"" ?";rakmak;rakımak;korumak;rekmek;3;
314;314;1;"How do you say ""grove, small wood"" ?";karu;karul;kuru;koru;4;
315;315;1;"How do you say ""duty, assignment"" ?";goruv;görev;gorev;garav;2;
316;316;1;"How do you say ""war"" ?";savaş;şavas;şavaş;savas;1;
317;317;1;"How do you say ""to fight, to battle"" ?";şavaşmak;savaşmak;savasmak;şavasmak;2;
318;318;1;"How do you say ""matter, substance"" ?";made;meda;madde;matte;3;
