id;expression_id;question_type;text;option_1;option_2;option_3;option_4;correct_answer;note
22;22;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
23;23;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
24;24;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
25;25;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
26;26;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
27;27;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
28;28;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
29;29;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
30;30;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
31;31;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
32;32;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
33;33;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
34;34;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
35;35;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
36;36;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
37;37;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
38;38;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
39;39;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
40;40;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
41;41;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
42;42;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
43;43;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
44;44;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
45;45;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
46;46;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
47;47;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
48;48;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
49;49;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
50;50;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
51;51;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
52;52;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
53;53;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
54;54;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
55;55;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
56;56;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
57;57;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
58;58;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
59;59;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
60;60;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
61;61;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
62;62;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
63;63;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
64;64;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
65;65;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
66;66;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
67;67;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
68;68;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
69;69;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
70;70;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
71;71;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
